#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
GA Barrow	103400	18350	8.3	46144	6.1	9.1	13125	50.3	73.3	10.9	629	28.4	74.2	41231
GA Bartow	99600	18989	8.6	76019	5.3	9.4	21199	50.6	71.8	14.1	1576	27.9	73.7	84325
GA Ben Hill	60700	14093	22.3	17484	-1.4	13.3	4809	52.1	65.8	9.5	600	27.5	71	53325
GA Berrien	70700	16375	17.7	16235	-0.9	12.5	4424	50.9	66	9.4	458	27.2	71.9	130928
GA Bibb	84400	19058	19.1	153887	-0.2	12.7	40880	54	77.2	21.3	3710	26.6	71.3	22064
GA Bleckley	66500	15934	15.9	11666	0.6	13.6	3101	51.8	71.7	12.5	252	26.6	72.2	70896
GA Brantley	60900	13713	15.6	14629	1.7	10.1	4145	49.8	72.5	6.2	407	28.3	72.6	27780
GA Brooks	67900	13977	23.4	16450	-0.3	15	4425	52	67.5	11.3	342	26.9	72.6	189373
GA Bryan	115600	19794	11.7	23417	4.8	7.3	7289	50.5	79	19.3	366	31.1	74.2	25477
GA Bulloch	94300	16080	24.5	55983	1.7	9.3	12480	51.3	77.9	25.4	681	22.3	74.8	199928
GA Burke	59800	13136	28.7	22243	1.6	10.9	6954	52.5	64.9	9.5	837	31.3	71.2	209708
GA Butts	86700	17016	11.5	19522	5.7	10.2	4699	46.7	69.8	8.6	361	24.1	73.1	27488
GA Calhoun	48200	11839	26.5	6320	-0.2	12.6	1395	43.5	65.5	11.7	214	22.1	71.3	128537
GA Camden	85300	16445	10.1	43664	0.9	5.2	13832	48.3	83.3	16	625	31.7	75.2	18963
GA Candler	62700	12958	26.1	9577	-0.7	15.2	2568	49.8	56.9	10.2	225	26.8	71.8	78376
GA Carroll	93300	17656	13.7	87268	5.4	10	22630	51.3	71.1	16.5	2010	25.9	74.4	77944
GA Catoosa	90800	18009	9.4	53282	3.6	11.9	13756	51.6	76	13.8	855	25.8	75.4	21872
GA Charlton	67300	12920	20.9	10282	1.1	9.7	2826	47.1	65.1	6.4	176	27.5	72.6	20362
GA Chatham	95000	21152	15.6	232048	0	12.8	58083	51.8	80.2	25	4710	25	73	8694
GA Chattahoochee	63800	14049	10.6	14882	1.7	1.8	4226	36.8	88.8	25	167	28.4	73.1	4070
GA Chattooga	59900	14508	14.3	25470	1.7	14.3	5834	48.4	60.4	7.7	481	22.9	72.6	55325
GA Cherokee	139900	24871	5.3	141903	7.2	6.6	40110	49.8	84.4	27	1639	28.3	76.6	32167
GA Clarke	111300	17123	28.3	101489	0.3	8.1	18108	51.2	81	39.8	1307	17.8	75.4	12660
GA Clay	53600	16819	31.3	3357	1	19.5	864	54.5	64.3	10.1	100	25.7	71.3	44309
GA Clayton	92700	18079	10.1	236517	4.3	5.9	70921	51.4	80.1	16.6	4352	30	74.1	4922
GA Clinch	54600	13023	23.4	6878	-0.7	11.8	1916	50.3	58.9	10.4	127	27.9	71.9	16166
GA Cobb	147600	27863	6.5	607751	4	6.9	158406	50.4	88.8	39.8	9145	26.1	76.2	9906
GA Coffee	68800	15530	19.1	37413	1.1	9.9	10582	50.4	64.8	10	1009	28.3	72.3	204165
GA Colquitt	65400	14457	19.8	42053	0.4	12.9	11543	50.5	64.9	11.4	1211	27.4	72.3	229221
GA Columbia	118000	23496	5.1	89288	3.5	8	26430	51.1	87.9	32	1405	29.6	75.6	29146
GA Cook	60900	13465	20.7	15771	0.5	13	4453	52	64.6	8.1	385	28.2	72.6	83769
GA Coweta	121700	21949	7.8	89215	6	8.5	25642	50.5	81.6	20.6	1280	28.7	73.8	42592
GA Crawford	77800	15768	15.4	12495	0.5	9.2	3448	49.9	67.3	6.8	246	27.6	72.1	37390
